id,name,goals,description,short_description,group_size,owner_id,created_at,is_active
90,Python Sudoku Solver Development,To build a Soduku program in Python that solves all levels of puzzle.,,A collaborative learning space focused on python sudoku solver development. Designed to help you achieve your learning goals through structured guidance and support.,,4,2025-11-09 17:18:36.203947,True
89,Systems Thinking for Student Leadership,Help college student leaders learn and understand systems thinking and how it can help them become better leaders in their decision making process,,A collaborative learning space focused on systems thinking for student leadership. Designed to help you achieve your learning goals through structured guidance and support.,,29,2025-10-28 20:30:54.870786,True
88,Authentic Dialogue: Connecting Through Communication,I want to learn more deeply what genuine dialogue is and how to implement and teach how to hold such dialogues with and among college students.,,A collaborative learning space focused on authentic dialogue: connecting through communication. Designed to help you achieve your learning goals through structured guidance and support.,,29,2025-10-28 20:02:42.188253,True
87,Creative Design and Collaboration Studio,"To foster creative expression and artistic collaboration, enabling students to explore design thinking, develop artistic skills, and create innovative projects together.",,A collaborative learning space focused on creative design and collaboration studio. Designed to help you achieve your learning goals through structured guidance and support.,,4,2025-10-26 21:12:56.327669,True
86,Costa Rica's Earth Charter Performance Analysis,To use theories and methods in Education for Sustainable Development and priciples of creative coexistence of nature and humanity to assess Costa Rica success or failure in implementing or living up to the Earth Charter.,,A collaborative learning space focused on costa rica's earth charter performance analysis. Designed to help you achieve your learning goals through structured guidance and support.,,4,2025-10-10 13:58:27.499316,True
85,Microbes and Humans: Complex Interactions,"To understand the historical, biological, pathological, social, and cultural relation between people and infectious microorganisms.",,A collaborative learning space focused on microbes and humans: complex interactions. Designed to help you achieve your learning goals through structured guidance and support.,,4,2025-10-04 16:03:55.327025,True
84,Science Study Group,"How might we explain science phenomena and demonstrate conceptual understanding?
How can we conduct science experiments and apply scientific methods?
How might we interpret science data and identify patterns and relationships?
How can we assess the reliability of science evidence and experimental design?
How can we leverage diverse perspectives and experiences for comprehensive learning?
How might we balance individual growth with collaborative achievement through organized activities?
How can we develop leadership and facilitation skills while supporting peer learning?
How might we prepare for exams through diverse study strategies and group accountability systems?
How can we develop group awareness and collaborative learning strategies?
How might we practice peer feedback and collaborative problem-solving?
How can we reflect on group dynamics and individual contributions?",A collaborative study group for science with medium group focus on exam prep.,"Unlock the power of collaborative learning! Join forces with peers to tackle challenging concepts, share insights, and accelerate your understanding. Experience the magic of group problem-solving where everyone's perspective makes the whole team stronger. Together, you'll achieve more than you...",medium,28,2025-09-23 21:15:45.633727,True
83,Sustainable Packaging from Natural Materials,to reduce plastic packaging and replace with coconut husk or algae or any other bio-based product through a social enterprise,,A collaborative learning space focused on sustainable packaging from natural materials. Designed to help you achieve your learning goals through structured guidance and support.,,28,2025-09-22 21:29:44.777860,True
82,EdTech Innovation and Strategy,To learn how to master the development and marketing of new Educational Technology Tools.,,A collaborative learning space focused on edtech innovation and strategy. Designed to help you achieve your learning goals through structured guidance and support.,,1,2025-09-22 01:38:18.179609,True
81,Latin America: A Historical Journey,To learn the history of Latin America,,A collaborative learning space focused on latin america: a historical journey. Designed to help you achieve your learning goals through structured guidance and support.,,4,2025-09-21 21:48:05.414457,True
80,Latin America: A Historical Journey,To learn the history of latin america,,A collaborative learning space focused on latin america: a historical journey. Designed to help you achieve your learning goals through structured guidance and support.,,4,2025-09-21 21:43:32.995131,False
79,"Nuclear Power: Past, Present, Future",To learn about the evolution of nuclear power and its waste.,,"A collaborative learning space focused on nuclear power: past, present, future. Designed to help you achieve your learning goals through structured guidance and support.",,4,2025-09-19 05:18:59.848083,True
78,Ed-Tech Funding and AI Innovation,"1) to find, assess, and apply to funding opportunities that will support a new educational technology tool and 2) to continue to develop that same educational technology tool which incorporates collaborative AI and learning-objective guided course creation.","A collaborative learning space focused on 1) to find, assess, and apply to funding opportunities that will support a new e. Designed to help you achieve your learning goals through structured guidance and support.","A collaborative learning space focused on 1) to find, assess, and apply to funding opportunities that will support a new e. Designed to help you achieve your learning goals through structured guidance and support.",,4,2025-09-19 00:18:37.267675,True
77,Collaborative AI Learning Grant Proposal Research,To write a successful grant proposal to fund a pilot educational technology tool that brings students together in learning goal oriented and collaborative AI,,A collaborative learning space focused on to write a successful grant proposal to fund a pilot educational technology tool. Designed to help you achieve your learning goals through structured guidance and support.,,4,2025-09-19 00:11:05.150596,True
76,Climate Change and Ocean Ecosystems,To understand the impact of climate change on ocean ecosystems,A collaborative learning space focused on to understand the impact of climate change on ocean ecosystems.,A collaborative learning space focused on to understand the impact of climate change on ocean ecosystems. Designed to help you achieve your learning goals through structured guidance and support.,,1,2025-09-18 21:43:52.003107,True
